,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
5,Algeria,DZA,1965,48.524,0.5224485273684,18.363,708923951.818493,248.380142345337,3055264503.3200603,48.3760975609756,637221000.0,671452000.0,0.0,149.1,62.357,4753164.0,37.643,4.7630677,Africa
6,Algeria,DZA,1966,48.155,0.6494806078364019,17.985,789943832.026321,234.190775381274,2918329340.18093,48.7908048780488,621220000.0,643298000.0,,149.3,61.16,5041536.0,38.84,3.518747,Africa
7,Algeria,DZA,1967,47.804,0.632118426888565,17.625,789943832.026321,252.420303422586,3289850578.49715,49.187512195122,723305000.0,639044000.0,,149.2,60.996,5208671.0,39.004,4.2919536,Africa
8,Algeria,DZA,1968,47.494,0.6592625511090601,17.283,891218682.286105,280.270647358053,3791381947.4765296,49.5727073170732,830049000.0,814655000.0,,148.7,60.831,5383537.0,39.169,5.4861946,Africa
9,Algeria,DZA,1969,47.232,0.797205643462515,16.955,1012748502.59785,300.984292847148,4257253368.1660295,49.9559024390244,933957000.0,1009100000.0,,147.7,60.666,5563573.0,39.334,3.1827636,Africa
10,Algeria,DZA,1970,47.021,1.03608266730392,16.633,1073504642.65554,334.259555153153,4741958622.420239,50.34363414634149,1008700000.0,1256820000.0,0.0,146.0,60.5,5747263.0,39.5,4.6656837,Africa
11,Algeria,DZA,1971,46.853,1.24789829433752,16.312,936367699.8203052,339.384000906405,5036510380.724,50.7439268292683,856566000.0,1227040000.0,,143.6,60.335,5933928.0,39.665,2.4559188,Africa
12,Algeria,DZA,1972,46.7,1.8436237143621697,15.979,1382755718.52591,439.731073098942,6739484018.51027,51.1718048780488,1304180000.0,1494020000.0,,140.6,60.169,6124851.0,39.831,3.2783434,Africa
13,Algeria,DZA,1973,46.532,2.42418238736638,15.618,2222671299.82691,551.434454871582,8639332925.16662,51.6457073170732,1887450000.0,2235710000.0,,137.0,60.003,6321297.0,39.997,4.175826,Africa
14,Algeria,DZA,1974,46.325,1.9638299432028297,15.217,5118637748.55667,813.049910237108,13137957355.3379,52.188073170731705,4686720000.0,4035220000.0,,133.0,59.837,6525328.0,40.163,2.494738,Africa
15,Algeria,DZA,1975,46.052,1.91699426264661,14.752,5241302621.13692,931.105585284599,15380691775.4465,52.836243902439,4700200000.0,5497520000.0,0.0,128.7,59.67,6738779.0,40.33,1.3782818,Africa
16,Algeria,DZA,1976,45.69,2.27867110143223,14.202,5860031795.57956,1031.30337391785,17416132386.8578,53.630512195122,5258870000.0,5081460000.0,0.0,124.0,59.503,6961530.0,40.497,1.4010223,Africa
17,Algeria,DZA,1977,45.229,2.36808209569782,13.564,6414584555.7363,1185.51062357032,20610177281.491,54.57826829268289,5944400000.0,7124990000.0,0.0,119.0,59.072,7240239.0,40.928,0.88172823,Africa
18,Algeria,DZA,1978,44.663,3.4333707200906898,12.849,6732393548.74249,1447.61764343583,25784547072.8106,55.667536585365895,6325930000.0,8547640000.0,0.0,113.6,58.206,7611662.0,41.794,0.6521151,Africa
19,Algeria,DZA,1979,43.988,2.4317322202441605,12.072,10354760677.9626,1771.9655051015,32153447216.1886,56.874878048780495,9550860000.0,8402740000.0,0.0,107.8,57.335,8004279.0,42.665,0.5792936,Africa
20,Algeria,DZA,1980,43.206,3.4398765563039704,11.259,14540716381.3132,2189.77571918256,41147474625.6342,58.1640243902439,13871000000.0,10558000000.0,0.0,101.1,56.458,8420031.0,43.542,0.4290016,Africa
21,Algeria,DZA,1981,42.324,2.32850297791274,10.443,15338985955.3324,2223.6969116934,43096071878.4366,59.486756097561,14396000000.0,11303000000.0,0.0,93.4,55.58,8858977.0,44.42,0.5029403,Africa
22,Algeria,DZA,1982,41.364,1.9085572345749,9.658,13980227834.7005,2197.1105947204,43894593849.0549,60.7863414634146,13170000000.0,10754000000.0,0.0,84.6,54.697,9321410.0,45.303,0.57087004,Africa
23,Algeria,DZA,1983,40.345,2.47900899968947,8.935,13635984805.2679,2298.88402768818,47576472475.081,62.008951219512205,12583000000.0,10399000000.0,0.0,75.0,53.811,9805134.0,46.189,0.25644946,Africa
24,Algeria,DZA,1984,39.277,3.2476292322545097,8.295,13805836561.8277,2452.66424861554,52220899424.6016,63.1171219512195,12795000000.0,10288000000.0,0.0,65.5,52.921,10307409.0,47.079,0.51367354,Africa
25,Algeria,DZA,1985,38.17,3.22549764006837,7.754,13664027837.9597,2567.49552076055,56367300471.8709,64.073756097561,12841000000.0,9841000000.0,0.0,57.2,52.032,10824415.0,47.968,0.72826535,Africa
26,Algeria,DZA,1986,37.03,3.2819741480631297,7.318,8188004794.622259,2740.65416979633,62266299492.0242,64.8571951219512,7832000000.0,9228000000.0,0.0,50.9,51.14,11355687.0,48.86,0.26640448,Africa
27,Algeria,DZA,1987,35.857,3.51707376850858,6.972,9525773486.27805,2790.4749071113697,65212266952.3972,65.4871463414634,8225000000.0,7042000000.0,0.0,46.3,50.278,11892453.0,49.722,0.5174273,Africa
28,Algeria,DZA,1988,34.651,3.41372648663503,6.695,9163454211.28961,2402.82546156192,57078992419.5287,65.9894390243903,7810000000.0,7690000000.0,0.0,43.1,49.489,12421409.0,50.511,0.17717436,Africa
29,Algeria,DZA,1989,33.415,3.16921314716626,6.479,10369299600.9975,2202.55811770906,53741486611.8537,66.38204878048779,9570000000.0,9470000000.0,0.0,41.0,48.702,12956680.0,51.298,0.22495823,Africa
30,Algeria,DZA,1990,32.132,3.0458371532601203,6.307,14545657472.2718,2394.4206084226103,59955097725.15,66.6945853658537,12930000000.0,9780000000.0,0.0017911784689067,39.7,47.915,13496455.0,52.085,0.1267387,Africa
31,Algeria,DZA,1991,30.778,3.05865540982343,6.164,13311319293.0222,1721.58206706589,43495370118.5514,66.9587317073171,12570000000.0,7770000000.0,0.0177774221384421,38.8,47.129,14039512.0,52.871,0.277607,Africa
