,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
137,Azerbaijan,AZE,1985,26.6,,6.8,,,,65.4277804878049,,,0.0,79.9,46.502,3570514.0,53.498,1.6519357,Asia
138,Azerbaijan,AZE,1986,27.6,,6.7,,,,65.54134146341471,,,0.0,78.5,46.303,3640640.0,53.697,0.9406938,Asia
139,Azerbaijan,AZE,1987,26.8,,6.7,,,,65.5259268292683,,,0.0,77.3,46.105,3711440.0,53.895,0.9706843,Asia
140,Azerbaijan,AZE,1988,26.4,,6.8,,,,65.36914634146339,,,0.0,76.3,45.906,3783410.0,54.094,0.8420581,Asia
141,Azerbaijan,AZE,1989,26.4,,6.4,,,,65.0892682926829,,,0.0,75.7,45.943,3840241.0,54.057,0.8257338,Asia
142,Azerbaijan,AZE,1990,25.9,,6.1,3885196371.82385,1237.324491677,,64.7463658536585,,,0.0,75.5,46.251,3847891.0,53.749,1.88166,Asia
143,Azerbaijan,AZE,1991,26.6,,6.3,4014478401.50504,1209.23749284959,,64.4241463414634,,,0.0,75.7,46.559,3885695.0,53.441,2.0779731,Asia
144,Azerbaijan,AZE,1992,25.2,7.81336263885126,7.1,4302724069.23816,676.15151145252,,64.207243902439,,,0.0,76.0,46.868,3922204.0,53.132,2.4099329,Asia
145,Azerbaijan,AZE,1993,23.7,6.586411474316209,7.2,2281805933.3109603,530.0903798067981,3971446603.10278,64.1540243902439,,,0.0,76.2,47.176,3959159.0,52.824,3.8572145,Asia
146,Azerbaijan,AZE,1994,21.4,5.61706976438068,7.3,819242649.705302,436.19055858199,3311239404.76759,64.2815853658537,655000000.0,778000000.0,0.0065145493339003,76.1,47.485,3989565.0,52.515,3.1670034,Asia
147,Azerbaijan,AZE,1995,18.9,4.35650097592713,6.7,851664903.566345,397.198116117247,3038925684.65042,64.57582926829271,635000000.0,668000000.0,0.0772120678344048,75.2,47.794,4012031.0,52.206,2.8640728,Asia
148,Azerbaijan,AZE,1996,16.6,4.0590662115161695,6.2,937639967.44943,409.216745216782,3114548942.1064897,64.994,630000000.0,961000000.0,0.216497821713534,73.6,48.104,4028686.0,51.896,3.449877,Asia
149,Azerbaijan,AZE,1997,16.8,3.8030227410455097,6.0,1150052948.55709,505.560573228931,3953251191.9698896,65.46239024390239,780000000.0,794000000.0,0.504939252652036,71.2,48.412,4043596.0,51.588,4.0128255,Asia
150,Azerbaijan,AZE,1998,15.7,4.0029756097561,5.9,1009435017.17451,561.910301735455,4433134258.26923,65.92336585365851,605000000.0,1076000000.0,0.814081353028257,68.1,48.722,4057628.0,51.278,4.5553145,Asia
151,Azerbaijan,AZE,1999,14.7,3.5798353950706203,5.8,1281990008.4948,573.8902561721,4536302414.95085,66.3554878048781,929000000.0,1036000000.0,4.59745206721326,64.5,48.815,4085971.0,51.185,3.5315983,Asia
152,Azerbaijan,AZE,2000,14.5,3.6662710285018494,5.8,2058501454.04592,655.097432602586,4987423599.37899,66.758243902439,1745000000.0,1172000000.0,5.17878001050046,60.6,48.614,4135854.0,51.386,3.446014,Asia
153,Azerbaijan,AZE,2001,13.6,3.54710548377552,5.6,2335730990.1752,703.671250439944,5371534923.674371,67.1502926829268,2314000000.0,1431000000.0,8.90740653293599,56.8,48.413,4184325.0,51.587,3.0117817,Asia
154,Azerbaijan,AZE,2002,13.5,3.62394434620868,5.7,2667055821.33333,763.101212220367,5851316264.314071,67.5610731707317,2167400000.0,1665500000.0,9.59205620254094,53.1,48.213,4232008.0,51.787,4.7006664,Asia
155,Azerbaijan,AZE,2003,13.8,3.71816992749663,6.0,3056613024.73954,883.614008967961,6833797400.4819,68.0036829268293,2591718144.0,2626200000.0,12.6293746279197,49.7,48.012,4280744.0,51.988,5.2779026,Asia
156,Azerbaijan,AZE,2004,15.8,3.8632296394389902,6.0,4235003009.57926,1045.02641527642,7979987900.62639,68.47019512195119,3615400000.0,3516000000.0,17.2061565053897,46.7,47.811,4335079.0,52.189,5.1585817,Asia
157,Azerbaijan,AZE,2005,16.9,4.09180192686952,6.2,8336195726.55991,1578.3673303066698,11598940366.2495,68.9372682926829,7648962000.0,4349857000.0,26.18119582903889,44.0,47.611,4396406.0,52.389,5.1650033,Asia
158,Azerbaijan,AZE,2006,17.6,4.6162998626916,6.2,13955015558.5404,2473.0857763683703,18302345198.1195,69.37473170731711,13014633000.0,5269338000.0,38.3554264128611,41.5,47.411,4461940.0,52.589,4.3662996,Asia
159,Azerbaijan,AZE,2007,17.7,3.5553400999848503,6.3,22517509963.8737,3851.437868711721,27970800839.063,69.756,21269317000.0,6045019000.0,51.5272193476898,39.3,47.21,4530068.0,52.79,4.50297,Asia
160,Azerbaijan,AZE,2008,17.4,4.05138348129721,6.0,32133276533.593,5574.6038021861295,43586308422.5901,70.06292682926829,30586343000.0,7574000000.0,73.7581002400517,37.3,47.01,4643726.0,52.99,4.1847568,Asia
161,Azerbaijan,AZE,2009,17.0,3.56566821757272,5.9,22870241353.5705,4950.29479142375,40772406444.3892,70.29265853658539,21097000000.0,6514000000.0,86.3219495171854,35.5,46.81,4759039.0,53.19,4.8711276,Asia
162,Azerbaijan,AZE,2010,18.3,3.38822587905988,5.9,28728665753.0833,5842.805783585761,49435841285.6609,70.4502926829268,26476026000.0,6746000000.0,100.059320146045,33.9,46.599,4835104.0,53.401,7.311432,Asia
163,Azerbaijan,AZE,2011,19.2,3.6473791469432,5.9,37214511839.9392,7189.69122920765,61091863998.987,70.5512926829268,34494900000.0,10166500000.0,109.9720704266,32.5,46.377,4918882.0,53.623,5.077954,Asia
164,Azerbaijan,AZE,2012,18.8,,5.9,36914842158.8595,7393.77187697623,63180918151.7312,70.62495121951221,32374000000.0,10192500000.0,108.768338113854,31.2,46.144,5006337.0,53.856,3.3373456,Asia
165,Azerbaijan,AZE,2013,18.3,,5.8,35841555130.6565,7811.621418458199,69440407903.123,70.6931463414634,31776362000.0,11155585000.0,107.613407242001,30.0,45.9,5094489.0,54.1,2.7806928,Asia
166,Azerbaijan,AZE,2014,,,,32551319648.0938,7884.19023556968,72617365803.9016,,29400000000.0,9000000000.0,110.905363353238,28.9,45.645,5184284.0,54.355,2.433617,Asia
167,Azerbaijan,AZE,2015,,,,,,,,,,,27.9,,,,2.757688,Asia
235,Bangladesh,BGD,1971,47.467,,19.132,550621082.286951,131.770232668267,,47.1385853658537,,,,148.9,92.099,5247643.0,7.901,3.8597577,Asia
236,Bangladesh,BGD,1972,47.08,0.0519295297618831,19.203,356841000.0,93.0510024546372,,47.0343170731707,260330000.0,682708000.0,,148.2,91.779,5555627.0,8.221,3.4065344,Asia
237,Bangladesh,BGD,1973,46.672,0.0663343338022437,18.999,528824097.159748,117.781906497143,8108053514.97237,47.295512195122,357726000.0,986390000.0,,147.4,91.447,5872359.0,8.553,5.024387,Asia
