,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
117,Austria,AUT,1965,17.9,5.2521965333262495,13.0,2375619902.29057,1374.53213986075,9925462658.215391,69.7221951219512,1600000000.0,2100540000.0,0.0,28.3,34.989,4726878.0,65.011,25.096407,Europe
118,Austria,AUT,1966,17.6,5.361724682623731,12.5,2581325902.37848,1486.96860600566,10814480797.1072,70.0458536585366,1683580000.0,2327650000.0,,27.3,34.939,4763809.0,65.061,25.840193,Europe
119,Austria,AUT,1967,17.3,5.4177367270534695,12.9,2744817978.26036,1569.6671828996698,11489682471.2034,69.9178048780488,1808810000.0,2309460000.0,,26.4,34.89,4803163.0,65.11,26.118929,Europe
120,Austria,AUT,1968,17.0,5.711110104197981,12.9,3024212933.07725,1677.67352804272,12325481697.6437,70.0575609756098,1988730000.0,2496000000.0,,25.7,34.841,4831802.0,65.159,25.099165,Europe
121,Austria,AUT,1969,16.3,6.00632517835173,13.3,3646709999.69066,1825.38612552124,13471334741.5813,69.8331707317073,2412420000.0,2825380000.0,,25.3,34.792,4852163.0,65.208,22.27537,Europe
122,Austria,AUT,1970,15.0,6.78880730716105,13.2,4210936385.2871103,2053.80951388476,15387654670.5478,69.9146341463415,2856620000.0,3548690000.0,0.0,25.0,34.742,4872871.0,65.258,24.770256,Europe
123,Austria,AUT,1971,14.5,6.953651911970461,13.0,4828105022.579579,2375.24267361004,17888317931.4902,70.1146341463415,3168180000.0,4189680000.0,,24.7,34.699,4897890.0,65.301,19.652302,Europe
124,Austria,AUT,1972,13.8,7.448516814437999,12.6,5940800642.895411,2917.00484403329,22071990297.0415,70.4634146341463,3883380000.0,5216260000.0,,24.1,34.689,4927193.0,65.311,19.524147,Europe
125,Austria,AUT,1973,12.9,7.93086698527507,12.2,7945377117.155109,3881.3497172507705,29514536228.8284,71.01463414634149,5282840000.0,7118910000.0,,23.0,34.679,4955326.0,65.321,20.177391,Europe
126,Austria,AUT,1974,12.8,7.56269727826075,12.4,10245142962.3086,4619.60172831448,35238395980.5654,71.0121951219512,7161100000.0,9022080000.0,,21.6,34.669,4964528.0,65.331,23.734528,Europe
127,Austria,AUT,1975,12.4,7.176844854723701,12.7,11254488267.3619,5272.88768233537,40086854862.9217,71.1146341463415,7519390000.0,9393870000.0,0.0,19.8,34.659,4952131.0,65.341,25.034246,Europe
