,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
283,Canada,CAN,1965,21.3,12.814001473727,7.6,9992735995.982891,2739.5858492818898,52992386264.0368,71.8721951219512,8473210000.0,8621630000.0,0.0,23.1,27.108,14343688.0,72.892,25.138649,North America
284,Canada,CAN,1966,19.3,12.9349181464485,7.5,11671587968.0753,3010.70590757947,59324310452.3502,72.0043902439024,10004700000.0,10061800000.0,,22.1,26.358,14763748.0,73.642,26.194748,North America
285,Canada,CAN,1967,18.2,13.8103545953361,7.4,13127741480.9947,3173.07619352225,63622628119.426,72.2078048780488,10999800000.0,10819200000.0,,21.2,25.845,15136519.0,74.155,25.610426,North America
286,Canada,CAN,1968,17.6,14.6326451986116,7.4,14998956980.3936,3411.0601543445696,69634804812.5117,72.3534146341463,13171300000.0,12280200000.0,,20.2,25.338,15487885.0,74.662,24.47401,North America
287,Canada,CAN,1969,17.6,14.6186486113753,7.3,16547561104.1766,3703.9904052552897,76814377406.6169,72.50146341463409,14350100000.0,14018800000.0,,19.4,24.839,15804855.0,75.161,25.521269,North America
288,Canada,CAN,1970,17.4,16.0141487525793,7.3,19268786773.854,4115.65651596174,86467220786.6782,72.7004878048781,16786500000.0,14286000000.0,0.0,18.5,24.346,16132459.0,75.654,25.025076,North America
289,Canada,CAN,1971,16.8,16.290090265729198,7.3,20915471479.5009,4579.27254371988,97663877797.5837,73.0292682926829,18373600000.0,16472000000.0,,17.7,23.91,16470088.0,76.09,24.927824,North America
290,Canada,CAN,1972,15.9,17.3294250049026,7.4,24074940600.0606,5133.78779554481,111408321547.631,72.93390243902441,21185300000.0,20037600000.0,,16.7,24.029,16708781.0,75.971,25.893644,North America
291,Canada,CAN,1973,15.6,17.0599518324311,7.4,29903797120.288,5861.661641198511,129292421057.894,73.1626829268293,26436900000.0,24713300000.0,,15.9,24.149,16967420.0,75.851,25.552883,North America
292,Canada,CAN,1974,15.4,17.1234430605275,7.4,38628506952.9652,7032.74954107932,157780865848.671,73.2375609756098,34507600000.0,34248400000.0,,15.0,24.269,17247044.0,75.731,26.811583,North America
293,Canada,CAN,1975,15.8,17.1116133396527,7.3,38310330810.0668,7478.535910759259,170935944553.677,73.52170731707321,34074200000.0,36106500000.0,0.0,14.2,24.389,17548557.0,75.611,26.156315,North America
294,Canada,CAN,1976,15.6,16.9792484479973,7.2,44944129411.7647,8770.346980354441,202558283772.81897,73.85609756097558,40598400000.0,40242900000.0,0.0,13.3,24.497,17756796.0,75.503,26.332035,North America
