,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
5,Argentina,ARG,1965,22.709,2.64171446273276,8.948,1764705803.20912,1272.01055309131,29078234021.4454,65.6686829268293,1493400000.0,1198600000.0,0.0,,23.631,17017601.0,76.369,1.1027236,South America
6,Argentina,ARG,1966,22.602,2.7926539228379204,8.994,1904761830.17968,1266.3450445928,29796191127.5341,65.782243902439,1593200000.0,1124300000.0,,,23.112,17383413.0,76.888,1.0818976,South America
7,Argentina,ARG,1967,22.546,2.85816254619432,9.025,1818181857.73576,1057.7557537218902,24344243038.8777,65.9300243902439,1464500000.0,1095500000.0,,,22.602,17749065.0,77.398,1.0765653,South America
8,Argentina,ARG,1968,22.547,2.96985521815595,9.043,1714285705.23432,1136.51807652566,26044571826.7842,66.11348780487799,1367900000.0,1169200000.0,,,22.099,18120764.0,77.901,1.2273394,South America
9,Argentina,ARG,1969,22.61,3.27585030105915,9.047,2000000041.3448,1324.08265425217,31036571602.8723,66.3350975609756,1612100000.0,1576100000.0,,60.0,21.606,18505681.0,78.394,1.0651699,South America
10,Argentina,ARG,1970,22.759,3.45115922196339,9.039,1769210602.71535,1317.48753519866,30396317996.8419,66.59082926829271,1773200000.0,1694000000.0,0.0,59.5,21.12,18909951.0,78.88,1.3534116,South America
11,Argentina,ARG,1971,23.02,3.650078168983391,9.025,2000000003.29714,1366.3545582686302,33634600190.9299,66.8731219512195,1740400000.0,1868100000.0,,58.8,20.679,19327705.0,79.321,1.2703215,South America
12,Argentina,ARG,1972,23.387,3.63785836633653,9.008,2500000047.48951,1401.4877379927,34199500220.4044,67.1679512195122,1941200000.0,1904700000.0,,58.0,20.257,19762668.0,79.743,1.2349966,South America
13,Argentina,ARG,1973,23.833,3.73079111779821,8.993,4000000136.32269,2083.97221812887,52722220653.6761,67.4653170731707,3266000000.0,2229500000.0,,56.8,19.842,20210548.0,80.158,2.2836952,South America
14,Argentina,ARG,1974,24.318,3.72669911156406,8.979,4999999839.570029,2824.65102533488,72679890116.6394,67.7586585365854,3930700000.0,3634900000.0,,55.2,19.433,20661008.0,80.567,3.6298018,South America
15,Argentina,ARG,1975,24.77,3.6418224976239104,8.961,3054054017.48759,2011.68904032488,53148109437.7931,68.0479512195122,2961300000.0,3946500000.0,0.0,53.2,19.031,21106169.0,80.969,3.862203,South America
16,Argentina,ARG,1976,25.107,3.76877393124555,8.934,4695000304.43367,1932.59070908312,51185002820.9107,68.3367073170732,3916100000.0,3033000000.0,0.0,50.5,18.634,21543400.0,81.366,3.5544236,South America
17,Argentina,ARG,1977,25.273,3.74987111478078,8.893,5459999880.60299,2112.50101617935,56339203223.2598,68.6294390243903,5651800000.0,4161500000.0,0.0,47.2,18.245,21974572.0,81.755,3.9092395,South America
18,Argentina,ARG,1978,25.243,3.7627502305726,8.837,4999999950.3057,2129.31371505249,57716474115.782,68.9266341463415,6399500000.0,3833700000.0,0.0,43.8,17.861,22405665.0,82.139,5.2276783,South America
19,Argentina,ARG,1979,25.017,3.99873369712254,8.767,4508960596.86682,2501.48111430387,68626165140.837,69.2243170731707,7809900000.0,6700100000.0,0.0,40.3,17.484,22844167.0,82.516,6.7023063,South America
